ID,prediction
1,0.0
2,10454.8
3,9166.0
4,8888.4
5,7273.0
6,7996.0
7,8096.199999999999
8,0.0
9,10454.8
10,9166.0
11,8888.4
12,7273.0
13,7996.0
14,8096.199999999999
15,0.0
16,10454.8
17,9166.0
18,8888.4
19,7273.0
20,7996.0
21,8096.199999999999
22,0.0
23,10454.8
24,9166.0
25,8888.4
26,7273.0
27,7996.0
28,8096.199999999999
29,0.0
30,10454.8
31,9166.0
32,8888.4
33,7273.0
34,7996.0
35,8096.199999999999
36,0.0
37,10454.8
38,9166.0
39,8888.4
40,7273.0
41,7996.0
42,8096.199999999999
43,0.0
44,10454.8
45,9166.0
46,8888.4
47,7273.0
48,7996.0
49,0.0
50,10301.8
51,7229.0
52,7450.4
53,3381.6
54,9267.4
55,4542.2
56,0.0
57,10301.8
58,7229.0
59,7450.4
60,3381.6
61,9267.4
62,4542.2
63,0.0
64,10301.8
65,7229.0
66,7450.4
67,3381.6
68,9267.4
69,4542.2
70,0.0
71,10301.8
72,7229.0
73,7450.4
74,3381.6
75,9267.4
76,4542.2
77,0.0
78,10301.8
79,7229.0
80,7450.4
81,3381.6
82,9267.4
83,4542.2
84,0.0
85,10301.8
86,7229.0
87,7450.4
88,3381.6
89,9267.4
90,4542.2
91,0.0
92,10301.8
93,7229.0
94,7450.4
95,3381.6
96,9267.4
97,0.0
98,17317.8
99,14645.8
100,14188.8
101,13019.0
102,11882.0
103,10740.0
104,0.0
105,17317.8
106,14645.8
107,14188.8
108,13019.0
109,11882.0
110,10740.0
111,0.0
112,17317.8
113,14645.8
114,14188.8
115,13019.0
116,11882.0
117,10740.0
118,0.0
119,17317.8
120,14645.8
121,14188.8
122,13019.0
123,11882.0
124,10740.0
125,0.0
126,17317.8
127,14645.8
128,14188.8
129,13019.0
130,11882.0
131,10740.0
132,0.0
133,17317.8
134,14645.8
135,14188.8
136,13019.0
137,11882.0
138,10740.0
139,0.0
140,17317.8
141,14645.8
142,14188.8
143,13019.0
144,11882.0
145,0.0
146,9723.599999999999
147,7868.4
148,7229.6
149,5349.0
150,6606.0
151,4636.8
152,0.0
153,9723.599999999999
154,7868.4
155,7229.6
156,5349.0
157,6606.0
158,4636.8
159,0.0
160,9723.599999999999
161,7868.4
162,7229.6
163,5349.0
164,6606.0
165,4636.8
166,0.0
167,9723.599999999999
168,7868.4
169,7229.6
170,5349.0
171,6606.0
172,4636.8
173,0.0
174,9723.599999999999
175,7868.4
176,7229.6
177,5349.0
178,6606.0
179,4636.8
180,0.0
181,9723.599999999999
182,7868.4
183,7229.6
184,5349.0
185,6606.0
186,4636.8
187,0.0
188,9723.599999999999
189,7868.4
190,7229.6
191,5349.0
192,6606.0
193,0.0
194,7516.200000000001
195,6202.4
196,5825.4
197,5828.0
198,5849.0
199,3454.0
200,0.0
201,7516.200000000001
202,6202.4
203,5825.4
204,5828.0
205,5849.0
206,3454.0
207,0.0
208,7516.200000000001
209,6202.4
210,5825.4
211,5828.0
212,5849.0
213,3454.0
214,0.0
215,7516.200000000001
216,6202.4
217,5825.4
218,5828.0
219,5849.0
220,3454.0
221,0.0
222,7516.200000000001
223,6202.4
224,5825.4
225,5828.0
226,5849.0
227,3454.0
228,0.0
229,7516.200000000001
230,6202.4
231,5825.4
232,5828.0
233,5849.0
234,3454.0
235,0.0
236,7516.200000000001
237,6202.4
238,5825.4
239,5828.0
240,5849.0
241,0.0
242,8911.8
243,7333.4
244,6970.6
245,3332.4
246,8609.8
247,7073.2
248,0.0
249,8911.8
250,7333.4
251,6970.6
252,3332.4
253,8609.8
254,7073.2
255,0.0
256,8911.8
257,7333.4
258,6970.6
259,3332.4
260,8609.8
261,7073.2
262,0.0
263,8911.8
264,7333.4
265,6970.6
266,3332.4
267,8609.8
268,7073.2
269,0.0
270,8911.8
271,7333.4
272,6970.6
273,3332.4
274,8609.8
275,7073.2
276,0.0
277,8911.8
278,7333.4
279,6970.6
280,3332.4
281,8609.8
282,7073.2
283,0.0
284,8911.8
285,7333.4
286,6970.6
287,3332.4
288,8609.8
289,0.0
290,9614.0
291,9022.2
292,8182.0
293,7650.0
294,7644.0
295,4386.0
296,0.0
297,9614.0
298,9022.2
299,8182.0
300,7650.0
301,7644.0
302,4386.0
303,0.0
304,9614.0
305,9022.2
306,8182.0
307,7650.0
308,7644.0
309,4386.0
310,0.0
311,9614.0
312,9022.2
313,8182.0
314,7650.0
315,7644.0
316,4386.0
317,0.0
318,9614.0
319,9022.2
320,8182.0
321,7650.0
322,7644.0
323,4386.0
324,0.0
325,9614.0
326,9022.2
327,8182.0
328,7650.0
329,7644.0
330,4386.0
331,0.0
332,9614.0
333,9022.2
334,8182.0
335,7650.0
336,7644.0
337,0.0
338,5579.4
339,4704.4
340,4981.2
341,4710.0
342,4467.0
343,2880.3999999999996
344,0.0
345,5579.4
346,4704.4
347,4981.2
348,4710.0
349,4467.0
